OBJECTID,LAD20CD,LAD20NM,LAD20NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
157,E07000137,East Lindsey, ,534861,376064,0.020516,53.26446,1766577016.1825,354336.73054431
158,E07000138,Lincoln, ,496347,370096,-0.55848,53.21921,35650906.9807739,32707.1185884069
159,E07000139,North Kesteven, ,502135,354788,-0.4767,53.08058,922440524.125153,180156.825873425
160,E07000140,South Holland, ,532909,322928,-0.03058,52.78758,750784607.205002,195424.522633514
161,E07000141,South Kesteven, ,501406,328986,-0.49565,52.84885,942602124.015976,206857.655644262
162,E07000142,West Lindsey, ,499314,390326,-0.50774,53.40044,1155676453.31265,246977.814619218
163,E07000143,Breckland, ,591015,303330,0.818716,52.59421,1305121438.30611,236074.929582602
164,E07000144,Broadland, ,619864,315909,1.252317,52.69622,551989108.405716,211900.332729481
165,E07000145,Great Yarmouth, ,646761,315881,1.64951,52.68439,174252965.65332,140367.824192893
166,E07000146,King's Lynn and West Norfolk, ,571219,315805,0.533243,52.71283,1439015305.14432,632452.697055828
167,E07000147,North Norfolk, ,611076,330857,1.132099,52.83389,967148123.445938,537168.611160577
168,E07000148,Norwich, ,622355,309773,1.284979,52.64013,39082512.1410217,75917.1030260235
169,E07000149,South Norfolk, ,628990,295823,1.373233,52.51218,907497072.271271,260297.667238264
170,E07000150,Corby, ,487862,290681,-0.7069,52.50697,80269878.352356,64616.3644061451
171,E07000151,Daventry, ,467286,268437,-1.01447,52.30994,665646614.200844,174693.192406309
172,E07000152,East Northamptonshire, ,501344,287839,-0.5092,52.47909,509711101.313591,159950.233457998
173,E07000153,Kettering, ,483866,282852,-0.76773,52.43723,233508179.221321,97151.3200736664
174,E07000154,Northampton, ,476495,260539,-0.88121,52.23775,80731915.161026,45609.1571785802
175,E07000155,South Northamptonshire, ,463000,247077,-1.08129,52.11844,634066210.687889,218819.016145574
176,E07000156,Wellingborough, ,487787,266827,-0.71425,52.29258,163099452.187874,67891.7707362554
177,E07000163,Craven, ,389513,461989,-2.16168,54.05376,1178931312.17836,197099.043184721
178,E07000164,Hambleton, ,443009,490546,-1.34049,54.30872,1311224708.99304,293340.759549859
179,E07000165,Harrogate, ,427473,464652,-1.58161,54.07708,1309056017.15192,243805.314327833
180,E07000166,Richmondshire, ,401039,495786,-1.98552,54.35761,1318705396.85822,219140.481047239
181,E07000167,Ryedale, ,475590,478890,-0.84277,54.20021,1506637623.40047,244877.275355568
182,E07000168,Scarborough, ,495798,495548,-0.52778,54.3465,816281862.968781,234370.557249112
183,E07000169,Selby, ,457551,426670,-1.12908,53.73327,599301006.400391,262291.874857507
184,E07000170,Ashfield, ,450035,355843,-1.25422,53.09747,109561751.05336,67000.6855825571
185,E07000171,Bassetlaw, ,468073,384835,-0.9787,53.35604,637844395.101593,156953.738787961
186,E07000172,Broxtowe, ,449829,341893,-1.25944,52.9721,80141984.3651886,64009.0717795168
187,E07000173,Gedling, ,459184,347811,-1.11907,53.02434,119962352.901001,68700.4942553534
188,E07000174,Mansfield, ,455047,363637,-1.17804,53.16703,76667422.1481934,50238.6567943325
189,E07000175,Newark and Sherwood, ,470624,357451,-0.94643,53.1096,651370386.87709,184337.753796329
190,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.9124,409237188.512894,120716.371804984
191,E07000177,Cherwell, ,449301,221201,-1.28506,51.8872,588714836.640907,218984.599856143
192,E07000178,Oxford, ,452277,206368,-1.24405,51.75357,45627549.6917191,34305.0913485209
193,E07000179,South Oxfordshire, ,463890,191964,-1.07847,51.62288,678408299.729668,201363.713786
194,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.65443,578703539.855461,171032.924999718
195,E07000181,West Oxfordshire, ,434343,215816,-1.50292,51.8399,714423757.575661,155616.721644924
196,E07000187,Mendip, ,362238,144090,-2.54178,51.19476,739393243.249989,194706.929378196
197,E07000188,Sedgemoor, ,338429,143998,-2.88246,51.19186,564549322.368378,237874.869793659
198,E07000189,South Somerset, ,345633,120798,-2.77588,50.98399,959011715.403568,234147.065899778
199,E07000192,Cannock Chase, ,401261,311553,-1.98277,52.70166,78893044.9708939,49320.9831529355
200,E07000193,East Staffordshire, ,412601,326569,-1.81438,52.83651,389989667.501762,178740.596185427
201,E07000194,Lichfield, ,416283,310967,-1.76049,52.69615,331249730.765907,124712.049885682
202,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.32631,53.00345,210970649.142593,103804.367981149
203,E07000196,South Staffordshire, ,389625,311037,-2.15495,52.69692,407322540.068932,181197.373251907
204,E07000197,Stafford, ,389001,327836,-2.16475,52.84792,598191871.058464,154134.564663776
205,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334,53.06924,575824953.478516,146949.622772743
206,E07000199,Tamworth, ,421455,302550,-1.68451,52.62031,30861286.7782135,30137.097139094
207,E07000200,Babergh, ,599987,244692,0.916149,52.0645,595124097.957138,198278.934402633
208,E07000202,Ipswich, ,617161,244456,1.166145,52.05592,39514607.481369,44245.9852600303
209,E07000203,Mid Suffolk, ,611646,262338,1.096953,52.21859,871028740.129242,188011.850796064
210,E07000207,Elmbridge, ,511882,163658,-0.39441,51.36098,96297938.7613602,51314.5637544587
211,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.33945,34119022.0063324,28204.9823044258
212,E07000209,Guildford, ,500408,151481,-0.56257,51.25366,270993285.742188,125212.771553173
213,E07000210,Mole Valley, ,518377,148953,-0.30603,51.22749,258300180.711731,102796.000357338
214,E07000211,Reigate and Banstead, ,525786,152574,-0.19871,51.25846,129130088.767418,77986.962130945
215,E07000212,Runnymede, ,501777,166979,-0.53855,51.39273,78051793.508606,44988.8078637492
216,E07000213,Spelthorne, ,507012,169622,-0.46254,51.41552,51166788.2310638,43535.9069436657
217,E07000214,Surrey Heath, ,491362,160483,-0.68986,51.3361,95104327.6773453,52368.4343650471
218,E07000215,Tandridge, ,536365,150325,-0.04805,51.23581,248194273.289436,80757.9314216681
219,E07000216,Waverley, ,496363,140635,-0.62343,51.15686,345198341.713844,122712.522876106
220,E07000217,Woking, ,499087,157542,-0.57982,51.30837,63555262.8897552,52819.0240475673
221,E07000218,North Warwickshire, ,425570,296399,-1.6242,52.56484,284263120.559494,110988.911840937
222,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965,52.50094,78974914.3981934,46968.6799687585
223,E07000220,Rugby, ,446498,276244,-1.31828,52.38228,353519327.862221,111663.24547671
224,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565,52.16154,977881209.671394,253359.749811264
225,E07000222,Warwick, ,428484,267113,-1.58369,52.30142,282877410.92289,113378.515274277
226,E07000223,Adur, ,518076,106472,-0.32417,50.84572,42102751.7842865,56876.1745889866
227,E07000224,Arun, ,495144,105723,-0.64999,50.84321,220960552.458168,150509.851480127
228,E07000225,Chichester, ,490285,116600,-0.7163,50.94177,786212325.50843,272943.793351319
229,E07000226,Crawley, ,526390,137581,-0.19533,51.12357,44968900.2663193,38036.7738215019
230,E07000227,Horsham, ,513674,123840,-0.38126,51.00272,530244467.160042,211618.654301026
231,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.05953,334000302.226944,129511.918396461
232,E07000229,Worthing, ,512679,104948,-0.40127,50.8331,32515985.9371834,28085.1657360372
233,E07000234,Bromsgrove, ,399840,273736,-2.00376,52.36169,217024406.415512,110390.882162302
234,E07000235,Malvern Hills, ,377465,252197,-2.33089,52.16758,577087605.622528,223488.666594291
235,E07000236,Redditch, ,403705,265253,-1.9471,52.28541,54266229.0936356,40249.0404151791
236,E07000237,Worcester, ,385725,255196,-2.21025,52.19482,33295690.8749542,30432.3745909426
237,E07000238,Wychavon, ,398991,247839,-2.01614,52.12886,663451081.816544,214580.841096959
238,E07000239,Wyre Forest, ,384106,276388,-2.23494,52.3853,195421918.626526,97451.7863157489
239,E07000240,St Albans, ,514580,209623,-0.3407,51.77356,161267075.786026,71895.625830209
240,E07000241,Welwyn Hatfield, ,525345,208467,-0.18518,51.76087,129481543.037354,81105.1825558155
241,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.86485,475708897.363335,132750.940836997
242,E07000243,Stevenage, ,524622,224531,-0.18987,51.90539,25941960.0195923,28109.3898863682
243,E07000244,East Suffolk, ,636043,266272,1.456186,52.24399,1260814079.13179,543579.389963603
244,E07000245,West Suffolk, ,580944,271124,0.652769,52.30842,1034725532.46582,269064.586645821
245,E07000246,Somerset West and Taunton, ,304960,130228,-3.35766,51.06348,1189172295.23289,282844.829808903
246,E08000001,Bolton, ,368352,409873,-2.47952,53.58449,139798149.519409,78823.4576671619
247,E08000002,Bury, ,379658,410768,-2.3088,53.5931,99463056.0790863,66901.4593905621
248,E08000003,Manchester, ,384591,397063,-2.23359,53.47009,115608347.737778,83823.0662553356
249,E08000004,Oldham, ,396603,406784,-2.05274,53.55768,142343447.644592,69705.0458936962
250,E08000005,Rochdale, ,390315,412326,-2.14784,53.60741,158161477.749191,81291.3100188251
251,E08000006,Salford, ,374556,398128,-2.38485,53.47927,97149158.3052063,62391.3480430399
252,E08000007,Stockport, ,391806,388264,-2.12467,53.39116,126049317.353714,71157.3427744346
253,E08000008,Tameside, ,394987,397995,-2.077,53.47867,103162089.310165,54108.1134632102
254,E08000009,Trafford, ,375790,391162,-2.36572,53.41671,106016606.922745,59146.7513687701
255,E08000010,Wigan, ,362136,402126,-2.57247,53.51445,188163768.622665,84928.535148236
